NPU,Movimento,Start,End
657797,A1,2016-06-01 07:25:09,2016-06-01 07:53:49
657797,A2,2016-06-01 07:53:50,2016-06-01 07:55:29
657797,A3,2016-06-01 07:55:30,2016-11-01 10:55:50
657797,A4,2016-11-01 10:55:51,2016-11-01 11:01:09
657797,A5,2016-11-01 11:01:10,2016-11-01 11:01:17
657797,A6,2016-11-01 11:01:17,2016-11-01 11:01:23
657797,A7,2016-11-01 11:01:25,2016-12-20 10:37:30
657797,A8,2016-12-20 12:02:30,2016-12-20 12:06:16
657797,A9,2016-12-20 12:06:19,2016-12-21 09:46:32
657797,A10,2016-12-21 09:46:34,2016-12-21 09:46:34
657772,A1,2016-06-01 07:28:11,2016-06-01 07:29:28
657772,A2,2016-06-01 07:29:30,2016-06-01 07:29:52
657772,A3,2016-06-01 07:29:52,2016-07-29 09:30:39
657772,A11,2016-07-29 09:30:40,2016-07-29 09:30:48
657772,A5,2016-07-29 09:30:49,2016-07-29 09:30:55
657772,A6,2016-07-29 09:30:56,2016-07-29 09:31:00
657772,A7,2016-07-29 09:31:02,2016-08-17 17:25:51
657772,A8,2016-08-19 08:58:04,2016-08-19 08:58:34
657772,A9,2016-08-19 08:58:36,2016-08-19 08:59:12
657772,A12,2016-08-19 08:59:13,2016-08-22 08:10:47
657772,A13,2016-08-22 08:10:47,2016-08-22 08:10:54
657772,A3,2016-08-22 08:10:54,2016-08-22 08:10:59
657772,A4,2016-08-22 08:10:59,2016-08-22 08:11:37
657772,A5,2016-08-22 08:11:38,2016-08-22 08:12:17
657772,A14,2016-08-22 08:12:17,2016-08-22 08:12:21
657772,A10,2016-08-22 08:12:23,2016-08-22 08:12:23
456907,A15,2016-06-01 08:06:03,2016-06-01 08:07:09
456907,A16,2016-06-01 08:07:33,2016-06-01 08:07:59
456907,A9,2016-06-01 08:08:01,2016-06-01 08:09:01
456907,A14,2016-06-01 08:09:01,2016-06-01 09:21:38
456907,A17,2016-06-01 09:21:39,2016-06-01 09:21:42
456907,A3,2016-06-01 09:21:43,2016-06-01 09:21:47
456907,A4,2016-06-01 09:21:47,2016-06-01 09:22:47
456907,A5,2016-06-01 09:22:47,2016-06-01 09:25:22
456907,A6,2016-06-01 09:25:22,2016-06-01 09:26:02
456907,A18,2016-06-01 09:26:03,2016-06-01 10:13:41
456907,A19,2016-06-01 10:16:33,2016-06-01 10:17:09
456907,A9,2016-06-01 10:17:12,2016-06-01 10:17:18
456907,A20,2016-06-01 10:17:18,2016-06-01 10:18:08
456907,A21,2016-06-15 09:15:50,2016-06-15 09:15:54
456907,A6,2016-06-15 09:15:55,2016-06-15 09:16:02
456907,A18,2016-06-15 09:16:04,2016-06-15 13:00:21
456907,A19,2016-06-15 13:00:22,2016-06-15 13:13:37
456907,A9,2016-06-15 13:14:53,2016-06-15 13:14:58
456907,A12,2016-06-15 13:14:59,2016-06-16 07:52:19
456907,A13,2016-06-16 07:52:22,2016-06-16 07:52:31
456907,A3,2016-06-16 07:52:31,2016-06-17 07:51:25
456907,A11,2016-06-17 07:51:26,2016-06-17 07:54:15
456907,A5,2016-06-17 07:54:16,2016-06-17 07:54:24
456907,A12,2016-06-17 07:54:25,2016-06-17 07:56:29
456907,A13,2016-06-17 07:56:32,2016-06-17 07:56:38
456907,A3,2016-06-17 07:56:39,2016-08-11 07:39:12
456907,A4,2016-08-11 07:39:13,2016-08-11 07:47:19
456907,A5,2016-08-11 07:47:20,2016-08-11 07:47:36
456907,A6,2016-08-11 07:47:37,2016-08-11 07:47:42
456907,A7,2016-08-11 09:02:46,2016-08-11 09:02:46
456907,A8,2016-08-11 09:05:13,2016-08-11 09:06:02
456907,A9,2016-08-11 09:06:04,2016-08-11 09:06:10
456907,A10,2016-08-11 09:06:11,2016-08-16 08:13:14
456907,A14,2016-08-16 08:13:15,2016-08-16 08:13:22
456907,A6,2016-08-16 08:13:22,2016-08-16 08:13:27
456907,A22,2016-08-16 13:05:35,2016-08-16 13:07:59
456907,A23,2016-08-16 13:08:00,2016-08-16 13:20:11
456907,A9,2016-08-16 13:20:12,2016-08-16 13:20:17
456907,A10,2016-08-16 13:20:18,2016-08-16 13:20:18
657814,A15,2016-06-01 08:36:58,2016-06-01 08:38:22
657814,A16,2016-06-01 08:38:22,2016-06-01 08:39:17
657814,A9,2016-06-01 08:39:20,2016-06-01 18:25:16
657814,A12,2016-06-01 18:25:17,2016-06-01 18:27:19
657814,A13,2016-06-01 18:27:21,2016-06-01 18:27:25
657814,A3,2016-06-01 18:27:26,2016-11-25 18:38:54
657814,A4,2016-11-25 18:38:55,2016-11-25 18:39:28
657814,A5,2016-11-25 18:39:29,2016-11-25 18:39:44
657814,A3,2016-11-25 18:39:45,2016-11-25 18:39:47
657814,A11,2016-11-25 18:39:48,2016-11-25 18:40:36
657814,A5,2016-11-25 18:40:37,2016-11-25 18:40:40
657814,A3,2016-11-25 18:40:41,2017-03-21 16:52:53
657814,A4,2017-03-21 16:52:54,2017-03-21 16:57:32
657814,A11,2017-03-21 16:57:32,2017-03-21 16:58:42
657814,A4,2017-03-21 16:58:43,2017-03-21 17:00:28
657814,A5,2017-03-21 17:00:29,2017-03-21 17:00:34
657814,A3,2017-03-21 17:00:35,2017-06-13 14:54:45
657814,A4,2017-06-13 14:54:47,2017-06-13 15:04:13
657814,A5,2017-06-13 15:04:15,2017-06-13 15:04:20
657814,A6,2017-06-13 15:04:22,2017-06-13 15:04:29
657814,A7,2017-06-13 15:04:31,2017-06-13 15:05:35
657814,A8,2017-06-19 15:40:12,2017-06-19 15:41:11
657814,A9,2017-06-19 15:41:17,2017-06-19 15:41:21
657814,A10,2017-06-19 15:41:23,2017-06-19 15:41:23
657841,A1,2016-06-01 08:42:22,2016-06-01 08:43:24
657841,A2,2016-06-01 08:43:26,2016-06-01 08:43:31
657841,A24,2016-06-01 08:43:31,2016-09-20 11:05:04
657841,A6,2016-09-20 11:05:05,2016-09-20 11:05:11
657841,A7,2016-09-20 11:05:13,2016-09-20 11:07:04
657841,A8,2016-09-20 11:20:38,2016-09-20 11:21:58
657841,A9,2016-09-20 20:15:56,2016-09-20 20:16:01
657841,A10,2016-09-20 20:16:03,2016-09-21 10:12:24
657841,A14,2016-09-21 10:12:25,2016-09-21 10:12:39
657841,A12,2016-09-21 10:12:41,2016-09-21 10:12:52
657841,A13,2016-09-21 10:12:53,2016-09-21 10:13:32
657841,A3,2016-09-21 10:13:33,2016-09-21 10:13:42
657841,A11,2016-09-21 10:13:43,2016-09-21 10:14:30
657841,A5,2016-09-21 10:14:30,2016-09-21 10:15:02
657841,A14,2016-09-21 10:15:03,2016-09-21 10:15:11
657841,A10,2016-09-21 10:15:12,2016-09-21 10:15:12
657820,A15,2016-06-01 09:24:45,2016-06-01 09:27:22
657820,A16,2016-06-01 11:30:44,2016-06-01 11:54:21
657820,A9,2016-06-01 11:54:23,2016-06-01 11:54:30
657820,A12,2016-06-01 11:54:31,2016-06-01 22:10:05
657820,A13,2016-06-01 22:10:07,2016-06-01 22:10:39
657820,A3,2016-06-01 22:10:40,2016-06-01 22:10:48
657820,A4,2016-06-01 22:10:49,2016-06-01 22:20:41
657820,A5,2016-06-01 22:20:41,2016-06-01 22:21:10
657820,A12,2016-06-01 22:21:11,2016-06-01 22:27:30
657820,A13,2016-06-01 22:27:31,2016-06-01 22:27:49
657820,A3,2016-06-01 22:27:49,2016-07-22 09:36:36
657820,A4,2016-07-22 09:36:37,2016-07-22 09:51:36
657820,A11,2016-07-22 09:51:37,2016-07-22 09:56:35
657820,A4,2016-07-22 09:56:36,2016-07-22 09:59:28
657820,A5,2016-07-22 09:59:28,2016-07-22 09:59:32
657820,A3,2016-07-22 09:59:33,2016-09-12 09:48:06
657820,A4,2016-09-12 09:48:07,2016-09-12 10:36:28
657820,A5,2016-09-12 10:36:29,2016-09-12 10:36:34
657820,A6,2016-09-12 10:36:35,2016-09-12 10:36:41
657820,A7,2016-09-12 10:36:42,2016-09-12 10:38:06
657820,A8,2016-09-12 10:51:44,2016-09-12 10:52:26
657820,A9,2016-09-12 10:52:28,2016-09-12 10:52:36
657820,A10,2016-09-12 10:52:37,2016-09-12 10:52:37
657922,A25,2016-06-01 09:35:01,2016-06-02 19:52:46
657922,A26,2016-06-02 19:52:47,2016-06-03 09:34:14
657922,A27,2016-06-06 12:40:08,2016-06-06 12:40:08
657922,A28,2016-06-10 20:31:39,2016-06-10 20:32:04
657922,A29,2016-06-10 20:32:05,2016-06-10 20:32:31
657922,A30,2016-06-10 20:32:33,2016-06-10 20:32:41
657922,A1,2016-06-10 20:33:13,2016-06-15 07:29:31
657922,A31,2016-06-15 07:29:33,2016-06-15 07:29:45
657922,A2,2016-06-15 07:29:46,2016-06-15 07:29:56
657922,A6,2016-06-15 07:29:57,2016-06-15 07:30:00
657922,A14,2016-06-15 07:30:01,2016-06-15 07:30:06
657922,A32,2016-06-15 07:30:07,2016-07-28 07:51:45
657922,A6,2016-07-28 07:51:45,2016-07-28 07:51:49
657922,A22,2016-07-28 07:51:50,2016-08-09 08:43:21
657922,A23,2016-08-09 10:18:54,2016-08-09 10:18:55
657922,A9,2016-08-11 11:31:18,2016-08-11 11:31:34
657922,A12,2016-08-11 11:31:35,2016-08-11 11:36:51
657922,A33,2016-08-11 11:36:52,2016-08-11 11:36:58
657922,A13,2016-08-11 11:36:58,2016-08-11 11:37:08
657922,A32,2016-08-11 11:37:08,2016-09-07 10:19:49
657922,A6,2016-09-07 10:19:49,2016-09-07 10:19:58
657922,A22,2016-09-07 10:20:00,2016-09-08 09:28:59
657922,A23,2016-09-08 11:07:45,2016-09-08 11:07:45
657922,A9,2016-09-12 10:16:36,2016-09-12 10:16:41
657922,A12,2016-09-12 10:16:42,2016-09-12 10:17:47
657922,A13,2016-09-12 10:17:49,2016-09-12 10:17:55
657922,A17,2016-09-12 10:17:56,2016-09-13 09:33:23
657922,A6,2016-09-13 09:33:23,2016-09-13 09:33:27
657922,A22,2016-09-13 09:33:28,2016-09-13 10:13:44
657922,A23,2016-09-13 10:17:20,2016-09-13 10:17:57
