NPU,Movimento,Start,End
456907,A15,2016-06-01 08:06:03,2016-06-01 08:07:09
456907,A16,2016-06-01 08:07:33,2016-06-01 08:07:59
456907,A9,2016-06-01 08:08:01,2016-06-01 08:09:01
456907,A14,2016-06-01 08:09:01,2016-06-01 09:21:38
456907,A17,2016-06-01 09:21:39,2016-06-01 09:21:42
456907,A3,2016-06-01 09:21:43,2016-06-01 09:21:47
456907,A4,2016-06-01 09:21:47,2016-06-01 09:22:47
456907,A5,2016-06-01 09:22:47,2016-06-01 09:25:22
456907,A6,2016-06-01 09:25:22,2016-06-01 09:26:02
456907,A18,2016-06-01 09:26:03,2016-06-01 10:13:41
456907,A19,2016-06-01 10:16:33,2016-06-01 10:17:09
456907,A9,2016-06-01 10:17:12,2016-06-01 10:17:18
456907,A20,2016-06-01 10:17:18,2016-06-01 10:18:08
456907,A21,2016-06-15 09:15:50,2016-06-15 09:15:54
456907,A6,2016-06-15 09:15:55,2016-06-15 09:16:02
456907,A18,2016-06-15 09:16:04,2016-06-15 13:00:21
456907,A19,2016-06-15 13:00:22,2016-06-15 13:13:37
456907,A9,2016-06-15 13:14:53,2016-06-15 13:14:58
456907,A12,2016-06-15 13:14:59,2016-06-16 07:52:19
456907,A13,2016-06-16 07:52:22,2016-06-16 07:52:31
456907,A3,2016-06-16 07:52:31,2016-06-17 07:51:25
456907,A11,2016-06-17 07:51:26,2016-06-17 07:54:15
456907,A5,2016-06-17 07:54:16,2016-06-17 07:54:24
456907,A12,2016-06-17 07:54:25,2016-06-17 07:56:29
456907,A13,2016-06-17 07:56:32,2016-06-17 07:56:38
456907,A3,2016-06-17 07:56:39,2016-08-11 07:39:12
456907,A4,2016-08-11 07:39:13,2016-08-11 07:47:19
456907,A5,2016-08-11 07:47:20,2016-08-11 07:47:36
456907,A6,2016-08-11 07:47:37,2016-08-11 07:47:42
456907,A7,2016-08-11 09:02:46,2016-08-11 09:02:46
456907,A8,2016-08-11 09:05:13,2016-08-11 09:06:02
456907,A9,2016-08-11 09:06:04,2016-08-11 09:06:10
456907,A10,2016-08-11 09:06:11,2016-08-16 08:13:14
456907,A14,2016-08-16 08:13:15,2016-08-16 08:13:22
456907,A6,2016-08-16 08:13:22,2016-08-16 08:13:27
456907,A22,2016-08-16 13:05:35,2016-08-16 13:07:59
456907,A23,2016-08-16 13:08:00,2016-08-16 13:20:11
456907,A9,2016-08-16 13:20:12,2016-08-16 13:20:17
456907,A10,2016-08-16 13:20:18,2016-08-16 13:20:18
